model,attack_type,ASR
distilgpt2,char_typo,0.994
distilgpt2,injection_ignore,0.894
distilgpt2,injection_override,0.894
distilgpt2,injection_wrong,0.888
distilgpt2,negation_dontanswer,0.888
distilgpt2,negation_opposite,0.9
flan_t5_base,char_typo,0.982
flan_t5_base,injection_ignore,0.382
flan_t5_base,injection_override,0.365
flan_t5_base,injection_wrong,0.418
flan_t5_base,negation_dontanswer,0.388
flan_t5_base,negation_opposite,0.4
flan_t5_small,char_typo,0.976
flan_t5_small,injection_ignore,0.435
flan_t5_small,injection_override,0.465
flan_t5_small,injection_wrong,0.535
flan_t5_small,negation_dontanswer,0.435
flan_t5_small,negation_opposite,0.447
mt5_small,char_typo,1.0
mt5_small,injection_ignore,1.0
mt5_small,injection_override,1.0
mt5_small,injection_wrong,1.0
mt5_small,negation_dontanswer,1.0
mt5_small,negation_opposite,1.0
