model,setting,type,accuracy,avg_f1,avg_ppl
distilgpt2,no_defense,adversarial,0.09019607843137255,0.022231444320701708,5126912.123364865
distilgpt2,no_defense,normal,0.08823529411764706,0.03002284398157487,9385597.353702659
distilgpt2,with_defense,adversarial,0.12450980392156863,0.023643874866208805,522953.8318433418
distilgpt2,with_defense,normal,0.11764705882352941,0.03144076148578032,603477.3893315471
flan_t5_base,no_defense,adversarial,0.5107843137254902,0.5179896247543306,16015.930577377152
flan_t5_base,no_defense,normal,0.611764705882353,0.62599376114082,14734.708040841797
flan_t5_base,with_defense,adversarial,0.5401960784313725,0.5324811463046758,15729.796001454812
flan_t5_base,with_defense,normal,0.6588235294117647,0.6603361344537815,14276.503251160448
flan_t5_small,no_defense,adversarial,0.45098039215686275,0.44290849673202615,14417.629917801
flan_t5_small,no_defense,normal,0.5588235294117647,0.5554901960784314,13239.093282856527
flan_t5_small,with_defense,adversarial,0.492156862745098,0.4650186741363212,14150.54080341807
flan_t5_small,with_defense,normal,0.5647058823529412,0.5352941176470588,13029.177734344315
mt5_small,no_defense,adversarial,0.0,0.000326797385620915,7.66558912329696e+47
mt5_small,no_defense,normal,0.011764705882352941,0.0023529411764705885,3.552869312238978e+37
mt5_small,with_defense,adversarial,0.0,0.0011788048552754434,4.1751853870108514e+37
mt5_small,with_defense,normal,0.0058823529411764705,0.0,9.780348551415053e+33
